num_distr,mouse.time,,,
5,2.0259148,,x1,5
5,1.2659472,,x2,10
5,2.3526965,,y1,2.27723176
5,2.1699565,,y2,2.476676324
5,2.918301,,,
5,1.8030033,,slope,(y2-y1)/(x2-x1)
5,1.7178095,,,0.039888913
5,1.7033082,,,
5,2.0365099,,,
5,2.1367926,,,
5,2.2202382,,,
5,1.6035365,,,
5,2.1155845,,,
5,1.9516717,,,
5,2.4653088,,,
5,2.3032892,,,
5,1.9525049,,,
5,1.6688702,,,
5,1.3410031,,,
5,2.3358308,,,
5,4.2707456,,,
5,1.9910219,,,
5,2.090926,,,
5,2.1862678,,,
5,3.019224,,,
5,2.2848795,,,
5,3.1185272,,,
5,2.1922922,,,
5,1.8028445,,,
5,3.1366949,,,
5,2.6037321,,,
5,2.018958,,,
5,1.6366892,,,
5,2.4858658,,,
5,2.7753693,,,
5,2.7366487,,,
5,2.1032759,,,
5,3.5028,,,
5,3.0860205,,,
5,2.0743543,,,
5,1.6279973,,,
5,3.324844,,,
5,2.0527462,,,
5,4.9086346,,,
5,1.7017519,,,
5,2.7188979,,,
5,0.5189288,,,
5,3.103659,,,
5,3.3528338,,,
5,1.8196339,,,
5,2.8367979,,,
5,2.3684894,,,
5,2.3353922,,,
5,3.0264562,,,
5,1.4693319,,,
5,1.8531857,,,
5,1.902818,,,
5,2.0426027,,,
5,1.4846691,,,
5,2.8704355,,,
5,2.3691962,,,
5,2.0533381,,,
5,1.787128,,,
5,1.6016991,,,
5,2.5016561,,,
5,2.1418096,,,
5,2.7872213,,,
5,2.4353668,,,
5,2.4856393,,,
5,2.0057084,,,
5,2.2682374,,,
5,2.5531931,,,
5,2.4533363,,,
5,3.2529713,,,
5,2.1864348,,,
5,2.5024453,,,
5,1.735949,,,
5,2.1523829,,,
5,3.2867018,,,
5,2.2194161,,,
5,0.2844078,,,
5,2.4698168,,,
5,2.2867171,,,
5,2.7863726,,,
5,2.403269,,,
5,1.8186867,,,
5,1.8533103,,,
5,2.019855,,,
5,1.3025239,,,
5,2.4195874,,,
5,2.3522115,,,
5,1.8864103,,,
5,1.9534783,,,
5,1.6359032,,,
5,1.5530092,,,
5,2.0013806,,,
5,2.0355297,,,
5,2.2526076,,,
5,2.6701629,,,
5,2.7539202,,,
5,4.0706509,,,
5,2.1361403,,,
5,2.3037683,,,
10,2.3253948,,,
10,2.6586418,,,
10,1.8076933,,,
10,2.0809668,,,
10,1.8430377,,,
10,2.2045944,,,
10,2.1247746,,,
10,2.8601423,,,
10,2.1654003,,,
10,2.7761142,,,
10,1.7093255,,,
10,2.7251227,,,
10,2.1738767,,,
10,2.3766856,,,
10,1.6077506,,,
10,1.5755244,,,
10,3.2274969,,,
10,2.5741003,,,
10,1.6918231,,,
10,1.3858344,,,
10,1.9245619,,,
10,2.7588613,,,
10,3.5635906,,,
10,2.7742176,,,
10,1.66189,,,
10,2.6740147,,,
10,2.2411234,,,
10,2.6233641,,,
10,2.3084886,,,
10,2.3642469,,,
10,1.5086009,,,
10,2.3396297,,,
10,1.6084524,,,
10,2.6576912,,,
10,2.0795792,,,
10,2.5039509,,,
10,2.0252689,,,
10,1.6797296,,,
10,1.9085993,,,
10,2.3397728,,,
10,1.6570511,,,
10,4.4597261,,,
10,2.4422238,,,
10,1.6963016,,,
10,4.126076,,,
10,3.5141768,,,
10,1.7304577,,,
10,3.931708,,,
10,2.6247177,,,
10,2.8572475,,,
10,3.2419428,,,
10,3.3057447,,,
10,2.614863,,,
10,4.8958687,,,
10,2.7258735,,,
10,3.6091904,,,
10,2.0572114,,,
10,6.8114331,,,
10,2.5387543,,,
10,1.3243275,,,
10,2.5406626,,,
10,3.0971026,,,
10,2.3886229,,,
10,2.3232377,,,
10,2.3081917,,,
10,2.2246441,,,
10,1.3135082,,,
10,1.6121113,,,
10,2.4081874,,,
10,2.2243731,,,
10,2.090491,,,
10,2.719407,,,
10,3.3249947,,,
10,2.1753027,,,
10,1.9233273,,,
10,2.0588074,,,
10,4.9590866,,,
10,2.8263207,,,
10,3.8473028,,,
10,2.2730724,,,
10,3.276041,,,
10,3.6422169,,,
10,1.4741247,,,
10,2.2418198,,,
10,2.3416626,,,
10,2.5240965,,,
10,1.7419995,,,
10,2.3751645,,,
10,1.5087556,,,
10,2.8926738,,,
10,1.2250039,,,
10,2.1754719,,,
10,2.1088894,,,
10,2.0916754,,,
10,2.1743496,,,
10,2.8413719,,,
10,1.3587021,,,
