num_distr,mouse.time,,,
5,1.3200894,,X1,5
5,1.4202971,,X2,10
5,1.1459418,,Y1,1.801510175
5,1.6294927,,Y2,2.123810355
5,1.5780012,,,
5,1.4153197,,SLOPE,0.064460036
5,1.8010179,,,
5,1.7535138,,,
5,1.5315374,,,
5,1.1589675,,,
5,1.1783158,,,
5,1.2437367,,,
5,1.5494555,,,
5,1.8992471,,,
5,1.2976575,,,
5,1.2481743,,,
5,1.2178872,,,
5,1.382027,,,
5,1.5121112,,,
5,1.8330434,,,
5,1.4120693,,,
5,1.6348441,,,
5,1.7007152,,,
5,1.3594581,,,
5,1.6008724,,,
5,1.6636111,,,
5,2.3994017,,,
5,1.7688166,,,
5,1.801067,,,
5,1.5832733,,,
5,1.7495267,,,
5,1.3163943,,,
5,1.2481177,,,
5,1.5841198,,,
5,1.7516346,,,
5,1.1801354,,,
5,1.2915728,,,
5,1.6781664,,,
5,1.9821189,,,
5,1.5832117,,,
5,2.3679705,,,
5,1.2925252,,,
5,2.902118,,,
5,4.1019672,,,
5,1.75184,,,
5,4.5173623,,,
5,3.6493532,,,
5,1.8008618,,,
5,1.4233425,,,
5,1.5780655,,,
5,1.7346542,,,
5,1.915918,,,
5,2.2002496,,,
5,1.3473352,,,
5,1.6299954,,,
5,2.0506087,,,
5,2.0308844,,,
5,2.6876296,,,
5,1.0356687,,,
5,1.8289301,,,
5,1.7182524,,,
5,1.1845049,,,
5,3.2144163,,,
5,2.2630525,,,
5,1.3003768,,,
5,1.775691,,,
5,2.2328348,,,
5,1.8011295,,,
5,1.9076919,,,
5,1.8347483,,,
5,2.5999554,,,
5,2.1140747,,,
5,1.6585655,,,
5,1.5737757,,,
5,1.7231872,,,
5,1.30523,,,
5,2.5813744,,,
5,1.209769,,,
5,1.9836563,,,
5,1.6152806,,,
5,1.4424735,,,
5,2.5018674,,,
5,1.5625586,,,
5,3.0511987,,,
5,1.6794413,,,
5,2.1794586,,,
5,3.6862789,,,
5,2.0154084,,,
5,1.9015445,,,
5,1.6996054,,,
5,1.4218126,,,
5,1.7664424,,,
5,1.5641615,,,
5,1.8369341,,,
5,1.5521816,,,
5,1.3753682,,,
5,1.8695071,,,
5,1.1679481,,,
5,1.2255078,,,
10,6.5950636,,,
10,2.1680262,,,
10,1.4486677,,,
10,1.819475,,,
10,1.29315,,,
10,1.8284231,,,
10,1.6567739,,,
10,2.0837583,,,
10,2.4832119,,,
10,1.6334072,,,
10,1.8348916,,,
10,1.3507612,,,
10,2.7127985,,,
10,1.4075927,,,
10,2.6350865,,,
10,1.6690581,,,
10,2.4055208,,,
10,1.5583935,,,
10,1.4148192,,,
10,1.6287515,,,
10,1.9552178,,,
10,1.8101455,,,
10,1.7227016,,,
10,1.397539,,,
10,1.6846286,,,
10,2.0059111,,,
10,1.783268,,,
10,2.1472682,,,
10,2.3885755,,,
10,1.866152,,,
10,1.4199607,,,
10,2.1292176,,,
10,2.0651763,,,
10,1.5789943,,,
10,1.5478922,,,
10,3.2053739,,,
10,1.2513391,,,
10,1.642263,,,
10,2.2476095,,,
10,2.1033586,,,
10,2.2140387,,,
10,1.6314236,,,
10,1.5484766,,,
10,1.8623305,,,
10,1.175342,,,
10,1.562882,,,
10,1.3815939,,,
10,2.0555757,,,
10,1.566422,,,
10,1.6886035,,,
10,6.9405962,,,
10,4.8978647,,,
10,1.7349592,,,
10,3.1688045,,,
10,1.4327598,,,
10,1.8038283,,,
10,1.3910607,,,
10,1.1651728,,,
10,2.9892355,,,
10,1.6585567,,,
10,2.4799408,,,
10,2.2269169,,,
10,1.689055,,,
10,1.8160495,,,
10,2.2536743,,,
10,1.4878168,,,
10,1.2055531,,,
10,2.0471906,,,
10,1.0542567,,,
10,2.5293882,,,
10,3.4628519,,,
10,2.8006238,,,
10,3.6060036,,,
10,1.034101,,,
10,2.377681,,,
10,1.8960218,,,
10,2.2689417,,,
10,2.6614489,,,
10,2.9189619,,,
10,2.0208658,,,
10,2.4791139,,,
10,2.4465079,,,
10,3.397963,,,
10,3.3798752,,,
10,5.7937861,,,
10,2.5660905,,,
10,2.2398363,,,
10,1.2830041,,,
10,2.4848352,,,
10,2.0331023,,,
10,2.5041538,,,
10,1.5297541,,,
10,2.3587468,,,
10,1.5434829,,,
10,2.3126366,,,
10,1.3734707,,,
10,1.4505814,,,
10,2.1888327,,,
10,1.554336,,,
10,1.1259775,,,
10,1.1716657,,,
